GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ProyectoFinalCS,proyectofinal.Controller,TareaController,568,0,45,0,158,0,45,0,21,0
ProyectoFinalCS,proyectofinal.Repositorio,JsonTareaRepositorio,101,278,19,19,18,69,20,21,3,19
ProyectoFinalCS,proyectofinal.Repositorio,TareaRepositorioImpl,201,0,26,0,47,0,28,0,15,0
ProyectoFinalCS,proyectofinal.Repositorio,PersistenciaException,9,0,0,0,4,0,2,0,2,0
ProyectoFinalCS,proyectofinal.Repositorio,JsonTareaRepositorio.new TypeReference() {...},6,0,0,0,1,0,1,0,1,0
ProyectoFinalCS,proyectofinal.Servicio,TareaServicioImpl,162,76,22,10,38,20,26,6,10,6
ProyectoFinalCS,proyectofinal.View,MainFrame,615,0,22,0,146,0,45,0,34,0
ProyectoFinalCS,proyectofinal.View,TaskDialog,282,0,8,0,60,0,11,0,7,0
ProyectoFinalCS,proyectofinal.View,Main,120,0,2,0,45,0,12,0,11,0
ProyectoFinalCS,proyectofinal.View,MainFrame.new DefaultTableModel() {...},16,0,2,0,3,0,4,0,3,0
ProyectoFinalCS,proyectofinal.View,MainFrame.new DocumentListener() {...},73,0,6,0,20,0,10,0,7,0
ProyectoFinalCS,proyectofinal.Model,Prioridad,0,83,0,8,0,16,0,9,0,5
ProyectoFinalCS,proyectofinal.Model,Tarea,42,121,8,14,5,39,10,17,2,14
ProyectoFinalCS,proyectofinal.Model,Estado,0,38,0,0,0,9,0,4,0,4
ProyectoFinalCS,proyectofinal,MainTercerCommit,50,0,0,0,11,0,2,0,2,0
